Player,Stats_from,Age,MPG,PPG,PER,TOPG,PFG,2017_2018 Salary
Danny Green,2016.0,28.0,26.10126582278481,7.2405063291139244,10.5,0.9493670886075949,1.7848101265822784,10.0
Draymond Green,2016.0,25.0,34.666666666666664,13.962962962962964,19.3,3.197530864197531,2.962962962962963,16.4
Gerald Green,2016.0,30.0,22.565217391304348,8.927536231884059,10.1,0.6666666666666666,1.7826086956521738,0.947248
JaMychal Green,2016.0,25.0,18.53846153846154,7.410256410256411,14.6,1.064102564102564,2.423076923076923,8.533333
Jeff Green,2016.0,29.0,28.1625,11.7375,13.0,1.1625,2.05,2.116955
Blake Griffin,2016.0,26.0,33.42857142857143,21.4,22.1,2.3714285714285714,2.7142857142857144,29.5129
Tim Hardaway,2016.0,23.0,16.941176470588236,6.392156862745098,11.7,0.45098039215686275,0.9411764705882353,16.5
James Harden,2016.0,26.0,38.109756097560975,28.975609756097562,25.3,4.560975609756097,2.792682926829268,28.299399
Maurice Harkless,2016.0,22.0,18.67948717948718,6.384615384615385,13.3,0.7948717948717948,1.5897435897435896,10.162922
Montrezl Harrell,2016.0,22.0,9.717948717948717,3.58974358974359,14.6,0.4358974358974359,1.2307692307692308,1.471382
Devin Harris,2016.0,32.0,20.0,7.609375,13.1,1.03125,1.9375,4.402546
Gary Harris,2016.0,21.0,32.0921052631579,12.263157894736842,12.7,1.2894736842105263,1.881578947368421,2.550055
Joe Harris,2016.0,24.0,3.0,0.6,3.4,0.2,0.2,1.524305
Tobias Harris,2016.0,23.0,33.06578947368421,14.68421052631579,16.2,1.4210526315789473,2.013157894736842,16.0
Udonis Haslem,2016.0,35.0,7.027027027027027,1.5945945945945945,9.1,0.13513513513513514,0.6756756756756757,2.328652
Spencer Hawes,2016.0,27.0,18.157894736842106,5.964912280701754,12.4,1.0175438596491229,1.9473684210526316,6.021175
Gordon Hayward,2016.0,25.0,36.1625,19.725,18.3,2.525,2.2875,29.7279
Gerald Henderson,2016.0,28.0,19.875,8.666666666666666,12.9,0.9444444444444444,1.2083333333333333,1.0
John Henson,2016.0,25.0,16.842105263157894,6.964912280701754,18.6,1.1228070175438596,2.2982456140350878,11.422536
Mario Hezonja,2016.0,20.0,17.88607594936709,6.050632911392405,9.4,1.2278481012658229,1.5696202531645569,4.07832
Nene Hilario,2016.0,33.0,19.19298245614035,9.210526315789474,16.8,1.3333333333333333,2.736842105263158,3.4776
George Hill,2016.0,29.0,34.108108108108105,12.08108108108108,13.2,1.364864864864865,2.0135135135135136,20.0
Solomon Hill,2016.0,24.0,14.677966101694915,4.169491525423729,12.2,0.559322033898305,1.152542372881356,12.236535
Jrue Holiday,2016.0,25.0,28.16923076923077,16.753846153846155,19.7,2.5692307692307694,2.276923076923077,25.686667
Justin Holiday,2016.0,26.0,14.584905660377359,4.509433962264151,9.4,0.7358490566037735,1.150943396226415,4.615385
Rondae Hollis-Jefferson,2016.0,21.0,21.20689655172414,5.758620689655173,14.2,0.896551724137931,2.103448275862069,1.471382
Richaun Holmes,2016.0,22.0,13.764705882352942,5.627450980392157,15.9,0.6274509803921569,1.803921568627451,1.471382
Rodney Hood,2016.0,23.0,32.164556962025316,14.544303797468354,14.1,1.5822784810126582,2.5569620253164556,2.386864
Al Horford,2016.0,29.0,32.08536585365854,15.231707317073171,19.4,1.3048780487804879,1.9878048780487805,27.734405
Dwight Howard,2016.0,30.0,32.11267605633803,13.746478873239436,18.9,2.3380281690140845,3.084507042253521,23.5
Josh Huestis,2016.0,24.0,11.0,2.8,6.7,0.6,0.6,1.471382
Serge Ibaka,2016.0,26.0,32.05128205128205,12.602564102564102,13.9,1.3846153846153846,2.7051282051282053,20.061729
Andre Iguodala,2016.0,32.0,26.646153846153847,7.030769230769231,12.2,1.2153846153846153,1.5692307692307692,14.814815
Ersan Ilyasova,2016.0,28.0,25.41891891891892,10.364864864864865,14.2,0.9594594594594594,2.310810810810811,6.0
Joe Ingles,2016.0,28.0,15.320987654320987,4.222222222222222,10.3,0.8024691358024691,1.2098765432098766,14.136364
Kyrie Irving,2016.0,23.0,31.452830188679247,19.641509433962263,19.9,2.339622641509434,2.018867924528302,18.868625
Jarrett Jack,2016.0,32.0,32.09375,12.84375,14.5,2.9375,2.40625,2.328652
Reggie Jackson,2016.0,25.0,30.68354430379747,18.848101265822784,19.6,2.8227848101265822,2.367088607594937,16.0
LeBron James,2016.0,31.0,35.64473684210526,25.263157894736842,27.5,3.276315789473684,1.881578947368421,33.285709
Al Jefferson,2016.0,31.0,23.319148936170212,11.957446808510639,18.2,0.723404255319149,2.4893617021276597,9.769821
Richard Jefferson,2016.0,35.0,17.91891891891892,5.54054054054054,9.7,0.581081081081081,1.7432432432432432,2.5
Brandon Jennings,2016.0,26.0,18.083333333333332,6.916666666666667,13.7,1.1875,1.1875,0.11901
Jonas Jerebko,2016.0,28.0,15.076923076923077,4.358974358974359,10.3,0.6666666666666666,1.7564102564102564,4.0
Amir Johnson,2016.0,28.0,22.78481012658228,7.30379746835443,16.0,1.1898734177215189,2.7088607594936707,11.0
Chris Johnson,2016.0,25.0,12.242857142857142,2.9285714285714284,8.2,0.5714285714285714,1.4285714285714286,0.025
James Johnson,2016.0,28.0,16.24561403508772,5.035087719298246,11.4,0.9473684210526315,1.4736842105263157,13.954
Joe Johnson,2016.0,34.0,33.370370370370374,12.246913580246913,12.0,1.962962962962963,1.8024691358024691,9.505
Stanley Johnson,2016.0,19.0,23.10958904109589,8.123287671232877,8.7,1.5616438356164384,2.4383561643835616,3.0978
Tyler Johnson,2016.0,23.0,23.97222222222222,8.722222222222221,13.8,1.3055555555555556,1.8333333333333333,5.88126
Wesley Johnson,2016.0,28.0,20.825,6.8625,11.0,0.675,2.1625,5.88126
Nikola Jokic,2016.0,20.0,21.6625,9.95,21.5,1.3,2.6,1.471382
Tyus Jones,2016.0,19.0,15.486486486486486,4.216216216216216,11.2,0.8918918918918919,0.8918918918918919,1.471382
DeAndre Jordan,2016.0,27.0,33.74025974025974,12.727272727272727,20.6,1.3896103896103895,2.688311688311688,22.64235
Cory Joseph,2016.0,24.0,25.575,8.4625,12.4,1.275,1.6375,7.63
Frank Kaminsky,2016.0,22.0,21.08641975308642,7.481481481481482,12.5,0.7160493827160493,1.5555555555555556,2.8476
Enes Kanter,2016.0,23.0,20.98780487804878,12.658536585365853,24.0,1.4024390243902438,2.024390243902439,20.566802
Michael Kidd-Gilchrist,2016.0,22.0,29.285714285714285,12.714285714285714,16.9,1.1428571428571428,1.2857142857142858,13.0
Sean Kilpatrick,2016.0,26.0,19.870967741935484,11.129032258064516,15.6,1.0,1.1935483870967742,1.524305
Brandon Knight,2016.0,24.0,35.96153846153846,19.576923076923077,14.7,3.4038461538461537,2.3846153846153846,13.61875
Kyle Korver,2016.0,34.0,30.0125,9.2375,9.7,1.225,2.0125,7.0
Kosta Koufos,2016.0,26.0,19.0,6.782051282051282,15.1,0.6153846153846154,2.371794871794872,8.393
Jeremy Lamb,2016.0,23.0,18.59090909090909,8.787878787878787,15.9,0.7575757575757576,1.5909090909090908,7.0
Shane Larkin,2016.0,23.0,22.44871794871795,7.256410256410256,13.3,1.8717948717948718,1.5512820512820513,1.524305
Joffrey Lauvergne,2016.0,24.0,17.64406779661017,7.88135593220339,15.7,0.9152542372881356,1.9491525423728813,1.524305
Zach LaVine,2016.0,20.0,27.975609756097562,14.024390243902438,14.3,1.8902439024390243,2.3536585365853657,3.202217
